ONDERWIJSSECTOR,JAAR,BRIN_NUMMER,INSTELLINGSNAAM,MAATWERKAFSPRAAK_FORMATIE_OP_LA,MAATWERKAFSPRAAK_FORMATIE_OP_LB,MAATWERKAFSPRAAK_FORMATIE_OP_LC,MAATWERKAFSPRAAK_FORMATIE_OP_LD,MAATWERKAFSPRAAK_FORMATIE_OP_LE,MAATWERKAFSPRAAK_FORMATIE_OP_OVERIG,DATUM_MAATWERKAFSPRAAK,TOELICHTING_MAATWERKAFSPRAAK
3,2014,"16EI","Lyceum Schravenlant",0,46,20,34,0,0,2014-12-09,""
3,2014,"16IH","RSG Ter Apel",0,59,18,23,0,0,2014-11-12,""
3,2014,"16MQ","Kon Willem II College",0,41,18,41,0,0,2014-09-25,""
3,2014,"16OX","2College",0,59,18,23,0,0,2014-12-11,""
3,2014,"16PE","Connect College",0,48,35,17,0,0,2015-03-04,""
3,2014,"16PI","OPB SGM Winkler Prins",0,52,28,20,0,0,2014-12-01,""
3,2014,"16PK","CSG Calvijn",0,27,47,26,0,0,2014-10-16,""
3,2014,"16QH","De Nassau",0,46,16,33,0,0,2014-10-08,""
3,2014,"16RB","Jacob Roelandslyceum",0,36,11,53,0,0,2014-10-09,""
3,2014,"16RF","OLV - Breda",0,35,23,42,0,0,2015-01-14,""
3,2014,"16RH","Het Rijnlands LYC",0,4,57,39,0,0,2014-12-09,""
3,2014,"16RT","VO Best-Oirschot",0,51,25,24,0,0,2014-11-07,""
3,2014,"16SL","Sint-Janscollege",0,37,13,50,0,0,2014-10-15,""
3,2014,"16ST","BSG",0,57,12,31,0,0,2014-10-08,""
3,2014,"16SW","RK SGM METAMEER",0,52,27,21,0,0,2014-10-13,""
3,2014,"16TV","Vrije School Z-Holland",0,60,24,16,0,0,2015-01-08,""
3,2014,"16VI","RK SGM Canisius",0,54,21,25,0,0,2014-10-06,""
3,2014,"16VK","OMO Scholengroep De Langstraat",0,43,22,35,0,0,2014-10-10,""
3,2014,"16VM","Herlecollege",0,47,39,14,0,0,2015-03-25,""
3,2014,"16VP","Hondsrug College",0,59,18,23,0,0,2014-07-10,""
3,2014,"16XD","College Den Hulster",0,43,33,24,0,0,2015-03-24,""
3,2014,"17AN","Minkema College",0,13,54,33,0,0,2014-06-24,""
3,2014,"17AY","Cambium College",0,48,25,27,0,0,2014-06-15,""
3,2014,"17BI","OSG Schoonoord",0,27,46,27,0,0,2014-09-29,""
3,2014,"17CK","RSG Slingerbos/Levant",0,46,31,23,0,0,2014-07-10,""
3,2014,"17DD","rsg Wiringherlant",0,37,39,24,0,0,2014-10-07,""
3,2014,"17DN","SGM De Meergronden",0,46,35,19,0,0,2014-10-09,""
3,2014,"17GM","Oosterlicht College",0,36,38,26,0,0,2014-07-16,""
3,2014,"17GT","RK SGM St Ursula",0,41,35,24,0,0,2015-03-04,""
3,2014,"17HB","ZAAM West",0,16,58,26,0,0,2014-12-10,""
3,2014,"17HN","Elzendaalcollege",0,49,22,28,0,0,2014-10-17,""
3,2014,"17HX","Mgr A E Rientjes Mavo",0,17,80,3,0,0,2014-10-13,""
3,2014,"17IR","Pax Christi College",0,53,30,17,0,0,2014-10-14,""
3,2014,"17JB","Charlemagne College",0,43,28,28,0,0,2015-03-25,""
3,2014,"17JI","Pro-Almere Bachweg",0,78,22,0,0,0,2014-10-09,""
3,2014,"17KF","Van Maerlant",0,55,37,8,0,0,2014-12-11,""
3,2014,"17SG","Heyerdahl College",0,79,21,0,0,0,2015-03-23,""
3,2014,"17UX","t Wildveld",0,79,21,0,0,0,2015-07-13,""
3,2014,"17VF","Zaam Noord",0,16,58,26,0,0,2014-12-10,""
3,2014,"17VN","Bonhoeffer College",0,42,30,28,0,0,2014-10-10,""
3,2014,"17VP","Instelling VO Deurne",0,49,25,26,0,0,2014-06-18,""
3,2014,"17WP","Werkpl Kindergem Sch",0,23,41,36,0,0,2014-10-14,""
3,2014,"17WQ","Lentiz",0,36,40,24,0,0,2014-10-14,""
3,2014,"17XU","Heerenlanden College",0,21,51,28,0,0,2015-02-11,""
3,2014,"17YS","Esprit Scholen",0,33,51,15,0,0,2014-10-22,""
3,2014,"18AN","Globe College",0,30,60,10,0,0,2015-03-24,""
3,2014,"18CV","Martinus College",0,48,26,25,0,0,2014-10-06,""
3,2014,"18DO","Romboutscollege",0,45,31,24,0,0,2014-11-03,""
3,2014,"18DQ","SGM Lelystad",0,50,22,28,0,0,2014-10-10,""
3,2014,"18TR","OZHW",0,31,50,19,0,0,2014-12-17,""
3,2014,"18VX","ProNovaCollege voor PRO",0,47,40,13,0,0,2014-12-17,""
3,2014,"18WS","Anna Van Ryn College",0,29,49,21,0,0,2014-11-18,""
3,2014,"18XR","Rythovius College",0,50,13,37,0,0,2014-11-11,""
3,2014,"18XU","Beatrix College",0,50,25,24,0,0,2014-04-22,""
3,2014,"19DH","Opb SGM De Ring V Putten",0,23,40,27,0,0,2014-10-01,""
3,2014,"19EN","Jan Tinbergen College",0,53,16,29,0,0,2014-06-16,""
3,2014,"19EW","ORS Lek en Linge",0,53,29,18,0,0,2014-07-11,""
3,2014,"19HR","Blariacumcollege",0,51,35,14,0,0,2015-03-24,""
3,2014,"19KM","Mavo Schravenlant XL",0,64,23,13,0,0,2014-12-17,""
3,2014,"19LO","Linde College",0,52,28,19,0,0,2014-10-10,""
3,2014,"19PV","Graaf Huyn College",0,34,30,36,0,0,2014-10-13,""
3,2014,"19QA","Koningin Wilhelmina College",0,49,25,26,0,0,2014-07-07,""
3,2014,"19RX","Merletcollege",0,33,33,34,0,0,2014-09-18,""
3,2014,"19UP","PrO Erasmus",0,68,32,0,0,0,2014-09-24,""
3,2014,"19XS","Sintermeertencollege",0,53,18,28,0,0,2015-03-25,""
3,2014,"19XV","Prisma VO",0,40,38,22,0,0,2016-06-07,""
3,2014,"19YT","De Viaan",0,57,43,0,0,0,2014-10-08,""
3,2014,"19ZP","Maris College",0,43,46,11,0,0,2014-10-13,""
3,2014,"19ZQ","Sted. Dalton College Alkmaar",0,49,35,16,0,0,2014-10-02,""
3,2014,"19ZU","Gem Gymn Camphusianum",0,9,42,49,0,0,2014-10-14,""
3,2014,"19ZX","Huygens",0,28,47,25,0,0,2014-10-08,""
3,2014,"20AA","Murmellius",0,42,7,50,0,0,2014-09-23,""
3,2014,"20AI","Coornhert Gymnasium",0,10,45,45,0,0,2014-10-06,""
3,2014,"20AJ","Stedelijk Gymnasium",0,24,28,48,0,0,2014-07-18,""
3,2014,"20AM","Farelcollege",0,36,38,26,0,0,2015-04-08,""
3,2014,"20AT","Scholengroep Het Plein",0,65,23,12,0,0,2014-11-11,""
3,2014,"20BH","IJsselcollege",0,37,45,17,0,0,2014-11-28,""
3,2014,"20BK","Stedelijk College Eindhoven",0,54,21,25,0,0,2014-10-14,""
3,2014,"20BQ","Mill-Hillcollege",0,41,19,40,0,0,2014-10-09,""
3,2014,"20BV","Praedinius Gymnasium",0,19,29,52,0,0,2014-11-20,""
3,2014,"20CJ","Het College Vos",0,41,39,19,0,0,2014-12-09,""
3,2014,"20CK","Joh V Oldenbarnevelt",0,25,30,45,0,0,2014-07-17,""
3,2014,"20CL","Leonardo College",0,41,39,20,0,0,2014-10-14,""
3,2014,"20CN","Scholengroep Zaandam",0,12,23,65,0,0,2015-02-05,""
3,2014,"20CR","Zuyderzee Lyceum",0,44,24,32,0,0,2014-10-08,""
3,2014,"20DB","Thorbecke SGM",0,50,25,25,0,0,2014-10-09,""
3,2014,"20DC","Stedelijk",0,27,32,41,0,0,2014-12-09,""
3,2014,"20DD","Gem Gymnasium",0,3,44,53,0,0,2014-09-30,""
3,2014,"20DF","Da Vinci College",0,24,50,26,0,0,2014-10-15,""
3,2014,"20DH","Het Stedelijk",0,68,13,19,0,0,2014-10-09,""
3,2014,"20DP","Stedelijk Gymnasium",0,0,34,66,0,0,2015-02-11,""
3,2014,"20EM","H.N. Werkman College",0,46,22,32,0,0,2015-02-12,""
3,2014,"20EO","Stedelijke SGM Nijmegen",0,41,26,33,0,0,2014-10-08,""
3,2014,"20ER","Zernike College",0,57,22,20,0,0,2014-11-28,""
3,2014,"20EY","Scholengroep Krommenie",0,12,23,65,0,0,2015-02-05,""
3,2014,"20FC","Saenredam College",0,19,76,5,0,0,2015-02-05,""
3,2014,"20FF","Praktijkschool De Brug",0,40,60,0,0,0,2015-02-05,""
3,2014,"20FR","PENTA college",0,21,47,32,0,0,2014-06-19,""
3,2014,"20GA","Van Maerlantlyceum",0,36,12,52,0,0,2014-11-11,""
3,2014,"20IB","Eckartcollege",0,36,30,34,0,0,2014-06-19,""
3,2014,"20IS","Stella Maris College",0,25,40,35,0,0,2014-10-13,""
3,2014,"20JX","OMO Scholengroep Helmond",0,51,20,29,0,0,2014-06-19,""
3,2014,"20KA","Groenewald",0,48,26,26,0,0,2014-10-13,""
3,2014,"20KD","SSVO De Einder",0,38,54,8,0,0,2014-10-02,""
3,2014,"20KQ","Openbare SGM Apeldoorn",0,54,27,18,0,0,2015-07-07,""
3,2014,"20LA","Opb SGM Esdal College",0,55,27,17,0,0,2014-05-27,""
3,2014,"20LL","Bouwens vd Boije College",0,41,31,28,0,0,2014-09-30,""
3,2014,"20LO","Opb SGM Dr Nassau Coll",0,60,17,23,0,0,2015-06-09,""
3,2014,"20MH","Jac P Thijsse College",0,46,21,32,0,0,2014-09-11,""
3,2014,"20QU","Gymnasium Apeldoorn",0,37,13,50,0,0,2015-07-07,""
3,2014,"20ST","Sint-Janslyceum",0,39,16,45,0,0,2014-10-09,""
3,2014,"20SY","Jeroen Bosch College",0,50,14,36,0,0,2014-12-11,""
3,2014,"20WI","Maaslandcollege",0,32,17,51,0,0,2014-10-30,""
3,2014,"20ZK","Tongerlo",0,45,23,32,0,0,2014-06-16,""
3,2014,"21AS","VOvA (1)",0,25,53,21,0,0,2014-12-17,""
3,2014,"21BH","SGM Dalton Spinozalyceum",0,25,48,26,0,0,2014-10-03,""
3,2014,"21ET","Zaam Zuid",0,16,58,26,0,0,2014-12-10,""
3,2014,"21EX","Theresialyceum",0,30,14,56,0,0,2014-11-11,""
3,2014,"21FF","SGM Reigersbos",0,26,50,24,0,0,2014-10-21,""
3,2014,"21FV","Sint Odulphuslyceum",0,35,16,49,0,0,2014-11-11,""
3,2014,"21GD","Calandlyceum",0,19,54,27,0,0,2014-09-24,""
3,2014,"21GV","SG Were Di",0,38,38,24,0,0,2014-07-07,""
3,2014,"21GW","Bonaventuracollege",0,30,46,24,0,0,2014-09-29,""
3,2014,"21GZ","Kwadrant Scholengroep",0,41,34,25,0,0,2014-06-05,""
3,2014,"21KM","SPO Het Atrium",0,41,42,17,0,0,2015-01-29,""
3,2014,"21SK","Mondial College",0,54,26,20,0,0,2014-10-09,""
3,2014,"21WE","Kaj Munk College",0,33,36,31,0,0,2014-05-20,""
3,2014,"22NE","College De Heemlanden",0,20,44,36,0,0,2015-06-23,""
3,2014,"23EJ","T Genseler",0,45,55,0,0,0,2014-10-07,""
3,2014,"23FY","Bossche Vakschool",0,49,40,11,0,0,2014-12-11,""
3,2014,"23HH","Praktijkonderwijs Roermond",0,76,24,0,0,0,2015-04-22,""
3,2014,"23VL","SGM Pieter Zandt",0,54,29,17,0,0,2014-10-08,""
3,2014,"24PY","Stedelijk Dalton Lyceum",0,11,57,32,0,0,2015-02-20,""
3,2014,"24RW","O V C",0,43,35,22,0,0,2014-10-09,""
3,2014,"24TG","Gooise Scholen Federatie Weesp",0,24,44,32,0,0,2014-06-24,""
3,2014,"24TP","Merewade College",0,20,56,24,0,0,2014-10-06,""
3,2014,"25CL","RSG Stad en Esch",0,48,28,24,0,0,2014-12-09,""
3,2014,"25CR","csg Bogerman",0,56,21,23,0,0,2014-05-15,""
3,2014,"25CV","Bornego College",0,59,24,17,0,0,2014-07-02,""
3,2014,"25DA","Atlas College",0,53,26,21,0,0,2014-11-27,""
3,2014,"25FX","Reynaert College",0,48,24,28,0,0,2014-06-01,""
3,2014,"25FY","Raayland College",0,46,29,25,0,0,2014-10-06,""
3,2014,"25GA","SCZ - Picasso Lyceum",0,23,55,22,0,0,2015-01-29,""
3,2014,"25GB","Marne College",0,56,25,19,0,0,2014-05-15,""
3,2014,"25GC","SGM Breda voor Katholiek VO",0,51,28,20,0,0,2016-07-08,""
3,2014,"25GD","Andreas College",0,17,57,26,0,0,2014-11-18,""
3,2014,"25GE","CSG Het Streek",0,36,34,30,0,0,2015-02-20,""
3,2014,"25GF","Dendroncollege",0,49,25,26,0,0,2014-10-01,""
3,2014,"25GM","dr Aletta Jacobs College",0,55,24,21,0,0,2014-09-12,""
3,2014,"25KX","Lorentz Casimir Lyceum",0,40,16,44,0,0,2014-11-11,""
3,2014,"25MG","Commanderij College",0,53,26,21,0,0,2014-05-27,""
3,2014,"26HD","De Sprong",0,60,40,0,0,0,2014-09-25,""
3,2014,"26HF","De Wissel",0,76,24,0,0,0,2015-01-19,""
3,2014,"26HL","Terra Nigra PrO",0,42,58,0,0,0,2014-10-09,""
3,2014,"26HN","Limes Praktijkonderwijs",0,47,49,4,0,0,2014-11-18,""
3,2014,"26HU","Accent Nijkerk",0,67,21,12,0,0,2014-07-17,""
3,2014,"26JV","Praktijkschool Hulst",0,40,60,0,0,0,2014-06-01,""
3,2014,"26JZ","De Faam",0,16,58,26,0,0,2014-12-10,""
3,2014,"26KH","PRAKTICON",0,65,35,0,0,0,2014-07-09,""
3,2014,"26KP","De Compagnie Sevenwolden",0,63,37,0,0,0,2015-02-03,""
3,2014,"26KR","MaxX",0,73,22,5,0,0,2014-09-29,""
3,2014,"26KZ","Openbare School voor Pro",0,61,31,8,0,0,2015-03-25,""
3,2014,"26LL","De Sprong",0,78,22,0,0,0,2015-01-06,""
3,2014,"26LR","Groene Hart Praktijkschool",0,49,36,15,0,0,2014-11-03,""
3,2014,"26LT","Het Segment School v PRO",0,42,58,0,0,0,2014-10-07,""
3,2014,"26MJ","Laurentius Praktijksch",0,63,29,8,0,0,2014-07-07,""
3,2014,"26MZ","Bhc Praktijkonderwijs",0,40,50,10,0,0,2014-12-11,""
3,2014,"27DG","De Passie",0,41,26,33,0,0,2014-07-15,""
3,2014,"27MD","Kennemer College",0,28,43,29,0,0,2014-09-11,""
3,2014,"27RW","De Passie",0,50,22,28,0,0,2014-07-15,""
3,2014,"27VF","Hans Petri School",0,51,46,3,0,0,2014-10-14,""
3,2014,"27VG","Porta Mosana College",0,37,31,32,0,0,2014-10-09,""
3,2014,"27ZH","Sint-Maartenscollege",0,30,37,33,0,0,2014-10-09,""
3,2014,"27ZJ","Bonnefantencollege",0,52,23,25,0,0,2014-10-09,""
3,2014,"28AC","De Passie",0,0,0,0,0,0,2014-07-15,""
3,2014,"28BN","Kennemer Praktijkschool",0,60,28,12,0,0,2014-09-11,""
3,2014,"28BU","Pro-Almere Marathonlaan",0,64,36,0,0,0,2014-10-09,""
3,2014,"29WG","De Passie",0,56,10,34,0,0,2014-07-15,""
3,2014,"29YT","Zuiderzee College",0,19,76,5,0,0,2015-02-05,""
3,2014,"30AU","Citadel College",0,67,19,14,0,0,2014-10-14,""
3,2014,"30EU","Markland College Zevenbergen",0,50,26,24,0,0,2014-09-23,""
3,2014,"30GD","Stedelijk Gymnasium Socrates",0,0,34,66,0,0,2015-02-11,""
3,2014,"30JN","Sint-Vitusmavo",0,28,37,35,0,0,2015-01-15,""
